threshold,position_limit,sharpe,total_pnl,max_drawdown
0.0,1,-175.47930661239332,-6.789974999999146,6.789974999999146
0.0,5,-119.01436755890278,-12.209968999994373,12.209968999994373
0.0,10,-68.69711042412702,-13.089980999990189,13.089980999990189
0.0,25,-28.25749578222649,-13.920008000007783,13.920008000007783
0.0,50,-14.568176549073701,-14.409959000029403,14.469960000029346
0.1,1,-168.81103177689732,-6.419973999999229,6.419974999999241
0.1,5,-114.20380141967583,-11.38997099999466,11.389975999994704
0.1,10,-63.09105172234407,-12.04998099999068,12.049982999990704
0.1,25,-26.032785718965545,-12.860010000008515,12.860012000008538
0.1,50,-13.577822831026214,-13.34996100002877,13.409964000028737
0.5,1,-143.66463450143516,-4.949978999999303,4.949979999999314
0.5,5,-89.30747429153605,-9.059975999995629,9.059980999995673
0.5,10,-48.19621393449732,-9.469986999993012,9.4699969999931
0.5,25,-21.547387298395645,-10.530019000001175,10.530023000001222
0.5,50,-11.856187464005306,-11.039974000015548,11.039979000015592
1.0,1,-115.52017196850898,-3.539991999999586,3.5499929999996027
1.0,5,-61.290147374428436,-6.0499929999969595,6.099997999997015
1.0,10,-32.94253260936928,-6.450000999994813,6.520013999994944
1.0,25,-16.7910387745823,-7.730031000000963,7.840054000000919
1.0,50,-10.443902984030125,-8.489997000011726,8.600020000011682
2.0,1,-65.756671728457,-1.4400019999997795,1.4500029999997963
2.0,5,-27.4616345390304,-2.3000059999986036,2.320013999998679
2.0,10,-16.450268528740303,-2.7100149999977248,2.740031999997882
2.0,25,-10.469488794955447,-3.810022999998182,3.900051999997686
2.0,50,-6.474854576299231,-4.279976000002762,4.520006000002127
5.0,1,-2.1341656686137758,-0.02999700000000871,0.04999700000000473
5.0,5,-2.1341656686137758,-0.02999700000000871,0.04999700000000473
5.0,10,-2.1341656686137758,-0.02999700000000871,0.04999700000000473
5.0,25,-2.1341656686137758,-0.02999700000000871,0.04999700000000473
5.0,50,-2.1341656686137758,-0.02999700000000871,0.04999700000000473
